>>>python train_siamese_network.py 

2020-09-18 17:23:49.530751: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2020-09-18 17:23:49.560168: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2000000000 Hz
2020-09-18 17:23:49.568106: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x56278723bc30 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2020-09-18 17:23:49.568203: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version

Iteration 186/1000000: Train loss: 4.849107, Train Accuracy: 0.515625, lr = 0.001000
Iteration 187/1000000: Train loss: 4.844032, Train Accuracy: 0.546875, lr = 0.001000
Iteration 188/1000000: Train loss: 4.824951, Train Accuracy: 0.500000, lr = 0.001000
Iteration 189/1000000: Train loss: 4.825494, Train Accuracy: 0.562500, lr = 0.001000
Iteration 190/1000000: Train loss: 4.823758, Train Accuracy: 0.562500, lr = 0.001000
Iteration 191/1000000: Train loss: 4.808964, Train Accuracy: 0.593750, lr = 0.001000
Iteration 192/1000000: Train loss: 4.779821, Train Accuracy: 0.578125, lr = 0.001000
Iteration 193/1000000: Train loss: 4.847078, Train Accuracy: 0.468750, lr = 0.001000
Iteration 194/1000000: Train loss: 4.812880, Train Accuracy: 0.531250, lr = 0.001000
Iteration 195/1000000: Train loss: 4.820700, Train Accuracy: 0.578125, lr = 0.001000
Iteration 196/1000000: Train loss: 4.808736, Train Accuracy: 0.578125, lr = 0.001000
Iteration 197/1000000: Train loss: 4.843610, Train Accuracy: 0.625000, lr = 0.001000
Iteration 198/1000000: Train loss: 4.795589, Train Accuracy: 0.531250, lr = 0.001000
Iteration 199/1000000: Train loss: 4.781680, Train Accuracy: 0.531250, lr = 0.001000
Iteration 200/1000000: Train loss: 4.772573, Train Accuracy: 0.562500, lr = 0.001000
Iteration 201/1000000: Train loss: 4.816653, Train Accuracy: 0.546875, lr = 0.001000
Iteration 202/1000000: Train loss: 4.827137, Train Accuracy: 0.484375, lr = 0.001000
Iteration 203/1000000: Train loss: 4.793126, Train Accuracy: 0.531250, lr = 0.001000
